old_file	old_name	new_name	new_file	kind	refs	note
blocks/cell_rows.py	cell_rows	expand_cells	blocks/expand_cells.py	function	2	with expand_grid below: this one maps a record STREAM, expand_grid reads ONE item; distinct names because a call site has to tell them apart
blocks/coll.py	_coll	build_collection	blocks/build_collection.py	function	6	the house verb for making a lexicon object
blocks/grid_rows.py	grid_rows	expand_grid	blocks/expand_grid.py	function	1	the task's own example
blocks/group_key.py	_group_key	read_group_key	blocks/read_group_key.py	function	2	the verb heuristic passed it (group is a verb) but here group is a noun — it reads a key
blocks/interval_of.py	_interval_of	read_interval	blocks/read_interval.py	function	2	returns (level, resamples, seed), or None when the node asks for no interval
blocks/items.py	_items	read_items	blocks/read_items.py	function	12	the most-used helper in the package (12 files)
blocks/transcript_mod.py	_transcript_mod	(delete)	blocks/transcript_mod.py	function	0	(delete) nothing calls it: the only mention was the blocks/__init__.py re-export. File and re-export removed
chat/by_cause.py	_by_cause	count_by_cause	chat/count_by_cause.py	function	1	
chat/item.py	_item	build_item	chat/build_item.py	function	2	
chat/new_box.py	_new_box	open_toolbox	chat/open_toolbox.py	function	2	open, not build: it also opens a sandbox session; build_toolbox is tools/toolbox_from below
chat/records.py	_records	read_records	chat/read_records.py	function	2	
chat/refuse_remote_only.py	_refuse_remote_only	refuse_remote_only	chat/refuse_remote_only.py	function	1	already a verb phrase; only the underscore goes, so the file keeps its name
chat/sandbox_and_tools.py	_sandbox_and_tools	resolve_sandbox_tools	chat/resolve_sandbox_tools.py	function	2	returns (image, tool specs) — it resolves both from the node's params
chat/summary.py	_summary	summarize_spend	chat/summarize_spend.py	function	1	summarize is the house verb (records/summarize); what it sums is the node's spend
directions/as_array.py	as_array	coerce_array	directions/coerce_array.py	function	10	the task's own example
directions/directions_from.py	_directions_from	collect_directions	directions/collect_directions.py	function	2	
directions/is_direction.py	_is_direction	is_direction	directions/is_direction.py	function	2	a predicate already reads as a question; only the underscore goes
directions/items_at.py	_items_at	select_layer_items	directions/select_layer_items.py	function	3	select is the house verb for taking a subset of a collection
directions/model_provenance.py	_model_provenance	build_model_provenance	directions/build_model_provenance.py	function	2	
directions/models_of.py	_models_of	collect_models	directions/collect_models.py	function	2	
directions/same_space.py	same_space	check_same_space	directions/check_same_space.py	function	2	returns nothing and raises — it is an assertion, so check
directions/space_at.py	_space_at	resolve_space	directions/resolve_space.py	function	2	resolve, not read: it merges the rows' spaces and applies the point override; read_space (below) reads one direction's
directions/space_of.py	space_of	read_space	directions/read_space.py	function	5	see resolve_space above — two names that would both want 'space'
interp/coords_of.py	_coords_of	read_record_coords	interp/read_record_coords.py	function	2	four functions are called coords_of; each gets the object it reads (record / parameter / subject)
interp/k.py	_K	load_kinds	interp/load_kinds.py	function	10	_K() reads as a constant; it is a lazy import of the kinds module
interp/last_logp.py	_last_logp	read_last_logp	interp/read_last_logp.py	function	8	the task's own example
interp/own_top1_if_different.py	_own_top1_if_different	report_own_top1	interp/report_own_top1.py	function	3	report, not read: it returns {} when there is nothing to say; the condition stays in the docstring
interp/pair.py	_pair	read_pair	interp/read_pair.py	function	3	
interp/render_text.py	_render_text	render_text	interp/render_text.py	function	3	already a verb phrase; only the underscore goes
interp/resolve_layers.py	_resolve_layers	resolve_layers	interp/resolve_layers.py	function	10	already a verb phrase; only the underscore goes
interp/target_of.py	_target_of	resolve_target	interp/resolve_target.py	function	6	the task's own example
interp/target_token_id.py	_target_token_id	encode_target_token	interp/encode_target_token.py	function	2	it encodes the target string and takes the first non-special id
interp/tracked_ids.py	_tracked_ids	collect_tracked_ids	interp/collect_tracked_ids.py	function	4	
intervene/as_list.py	_as_list	coerce_int_list	intervene/coerce_int_list.py	function	1	coerce is the verb the task pairs with as_*; int because it returns list[int]
intervene/axis_coord.py	_axis_coord	coerce_axis_coord	intervene/coerce_axis_coord.py	function	1	
intervene/edited.py	edited	edit_weights	intervene/edit_weights.py	function	2	a context manager; distinct from weights/edit_parameters, which is the thing it calls
intervene/rows_matrix.py	_rows_matrix	build_rows_matrix	intervene/build_rows_matrix.py	function	1	
intervene/scaled.py	scaled	scale_specs	intervene/scale_specs.py	function	1	
intervene/source_items.py	_source_items	read_source_items	intervene/read_source_items.py	function	1	
intervene/spec_items.py	spec_items	read_spec_items	intervene/read_spec_items.py	function	2	
intervene/wire_spec.py	_wire_spec	serialize_spec	intervene/serialize_spec.py	function	2	with serialize_model and serialize_params: one verb for the three wire forms. Not encode — encode means tokenize in this codebase
judge/constants.py	_FIRST_NUMBER	FIRST_NUMBER	judge/constants.py	constant	1	constant: only the underscore goes
judge/json_object.py	_json_object	parse_json_object	judge/parse_json_object.py	function	1	
judge/rationale.py	_rationale	read_rationale	judge/read_rationale.py	function	1	
lora.py	_KEY_RE	KEY_RE	lora.py	constant	2	constant: only the underscore goes
ops/__init__.py	module_name	resolve_module_name	ops/__init__.py	function	0	op name -> dotted module path
ops/__init__.py	modules	load_modules	ops/__init__.py	function	1	it imports every operation's module; ops.find() already sits beside it
ops/__init__.py	standalone	find_standalone	ops/__init__.py	function	1	
ops/activations/capture.py	residual_vectors	capture_residual_vectors	ops/activations/capture.py	function	0	
ops/activations/capture_attention.py	attention_patterns	capture_attention_patterns	ops/activations/capture_attention.py	function	0	
ops/activations/contrast.py	residual_divergence	measure_residual_divergence	ops/activations/contrast.py	function	0	
ops/activations/examples.py	examples	find_top_examples	ops/activations/examples.py	function	0	the docstring's own words: the corpus windows that most excite a direction
ops/adapter/measure.py	_wanted	_is_wanted	ops/adapter/measure.py	function	0	a predicate; it filters
ops/adapter/measure.py	adapter_pairs	read_adapter_pairs	ops/adapter/measure.py	function	0	
ops/adapter/measure.py	delta_spectrum	compute_delta_spectrum	ops/adapter/measure.py	function	0	
ops/direction/add.py	block_add	(inline)	ops/direction/add.py	function	0	(inline) one-line pass-through from run: run now calls the mechanism directly. The name it would have taken is add_directions
